_element_key,_element_name,_element_type,_list_child_element_keys
GPS_ID,GPS_ID,string,[]
GPS_taken,GPS_taken,string,[]
Gov_hospital_name,Gov_hospital_name,string,[]
LGA_name,LGA_name,string,[]
Lassa_socioeconomic_impact,Lassa_socioeconomic_impact,string,[]
Mis_hospital_name,Mis_hospital_name,string,[]
Priv_hospital_name,Priv_hospital_name,string,[]
address,address,string,[]
age,age,integer,[]
ataxia,ataxia,string,[]
can_kill,can_kill,string,[]
can_prevent,can_prevent,string,[]
can_treat,can_treat,string,[]
care,care,string,[]
care_by_family,care_by_family,string,[]
carer_discriminated,carer_discriminated,string,[]
carer_discrimination_faced,carer_discrimination_faced,array,"[""carer_discrimination_faced_items""]"
carer_discrimination_faced_items,items,string,[]
carer_other_discrimination_faced,carer_other_discrimination_faced,string,[]
carer_reintegration_since,carer_reintegration_since,string,[]
catch_rat,catch_rat,string,[]
cause,cause,array,"[""cause_items""]"
cause_items,items,string,[]
community_name,community_name,string,[]
contact,contact,array,"[""contact_items""]"
contact_items,items,string,[]
cowives,cowives,integer,[]
diagnosis_date,diagnosis_date,date,[]
diagnosis_location,diagnosis_location,string,[]
diagnosis_speed,diagnosis_speed,string,[]
discriminated,discriminated,string,[]
discrimination_faced,discrimination_faced,array,"[""discrimination_faced_items""]"
discrimination_faced_items,items,string,[]
distance_closest_farm,distance_closest_farm,integer,[]
distance_treatment,distance_treatment,string,[]
do_with_rat,do_with_rat,array,"[""do_with_rat_items""]"
do_with_rat_items,items,string,[]
do_with_rat_other,do_with_rat_other,string,[]
drink_garri,drink_garri,string,[]
dump,dump,string,[]
dump1,dump1,mimeUri,"[""dump1_contentType"",""dump1_uriFragment""]"
dump1_contentType,contentType,mimeType,[]
dump1_uriFragment,uriFragment,rowpath,[]
dump_notes,dump_notes,string,[]
eat_maize,eat_maize,string,[]
eat_rice,eat_rice,string,[]
education,education,string,[]
eye_problems,eye_problems,string,[]
family_fever_recovery,family_fever_recovery,string,[]
family_get_fever,family_get_fever,string,[]
family_size,family_size,integer,[]
family_unwell_since,family_unwell_since,string,[]
far_dump,far_dump,integer,[]
farm,farm,string,[]
farm_type,farm_type,array,"[""farm_type_items""]"
farm_type_items,items,string,[]
farm_type_other,farm_type_other,string,[]
farmer_type,farmer_type,array,"[""farmer_type_items""]"
farmer_type_items,items,string,[]
farmer_type_other,farmer_type_other,string,[]
fear,fear,string,[]
fear_range,fear_range,integer,[]
fever_cause,fever_cause,string,[]
fever_intensity,fever_intensity,string,[]
fever_treatment,fever_treatment,string,[]
fever_treatment_hospital,fever_treatment_hospital,string,[]
fever_treatment_other,fever_treatment_other,string,[]
food_to_farm,food_to_farm,string,[]
gender,gender,string,[]
gps_dump,gps_dump,string,[]
had_lassa,had_lassa,string,[]
had_lassa_Gov_hospital_name,had_lassa_Gov_hospital_name,string,[]
had_lassa_Mis_hospital_name,had_lassa_Mis_hospital_name,string,[]
had_lassa_Priv_hospital_name,had_lassa_Priv_hospital_name,string,[]
had_lassa_distance_treatment,had_lassa_distance_treatment,string,[]
had_lassa_where_seek_treatment,had_lassa_where_seek_treatment,array,"[""had_lassa_where_seek_treatment_items""]"
had_lassa_where_seek_treatment_items,items,string,[]
hearing_loss,hearing_loss,string,[]
hhsurv_Gov_hospital_name,hhsurv_Gov_hospital_name,string,[]
hhsurv_Lassa_socioeconomic_impact,hhsurv_Lassa_socioeconomic_impact,string,[]
hhsurv_Mis_hospital_name,hhsurv_Mis_hospital_name,string,[]
hhsurv_Priv_hospital_name,hhsurv_Priv_hospital_name,string,[]
hhsurv_ataxia,hhsurv_ataxia,string,[]
hhsurv_diagnosis_date,hhsurv_diagnosis_date,date,[]
hhsurv_diagnosis_location,hhsurv_diagnosis_location,string,[]
hhsurv_diagnosis_speed,hhsurv_diagnosis_speed,string,[]
